Elemento	nDorm	nSuites	nBWCs	nVagas	tipologia	renda	aPriva	ano	idade	preco	vUnitario
Elemento 4	3	1	2	2	2906,71	5230	92	2017	7	1319000,00	14336,96
Elemento 6	2	1	2	2	2906,71	5230	73	2017	7	998000,00	13671,23
Elemento 7	3	1	2	2	2906,71	5230	89	2017	7	1390000,00	15617,98
Elemento 8	3	1	2	1	2906,71	5230	87	2017	7	1100000,00	12643,68
Elemento 17	3	3	4	2	2906,71	6100	130	2018	6	1503000,00	11561,54
Elemento 18	2	1	2	1	2906,71	6100	124	2018	6	1067000,00	8604,84
Elemento 19	2	1	2	1	2906,71	6100	125	2018	6	1047666,00	8381,33
Elemento 21	2	1	2	1	2906,71	6100	125	2018	6	1047000,00	8376,00
Elemento 23	2	1	2	2	2850	5270	69,21	2015	9	947000,00	13682,99
Elemento 24	2	1	2	1	2850	5270	68,67	2015	9	945000,00	13761,47
Elemento 25	2	2	2	2	2850	5270	78	2015	9	1050000,00	13461,54
Elemento 40	2	1	2	1	2788,32	6400	70	2013	11	780000,00	11142,86
Elemento 44	4	1	3	2	2464,94	5000	111	2006	18	1100000,00	9909,91
Elemento 45	2	2	3	2	2850	7110	79,33	2018	6	954000,00	12025,72
Elemento 48	3	1	1	2	2464,94	5750	139,84	2011	13	1298000,00	9282,04
Elemento 52	2	1	2	1	2788,32	5750	105	2012	12	870000,00	8285,71
Elemento 54	2	1	2	1	2788,32	5750	96	2018	6	850000,00	8854,17
Elemento 55	3	1	2	1	2788,32	5750	89	1999	25	750000,00	8426,97
Elemento 56	3	1	2	1	2464,94	6100	86	2002	22	780000,00	9069,77
Elemento 57	2	1	2	2	2464,94	4140	72	2016	8	740000,00	10277,78
Elemento 58	3	1	2	2	2464,94	4140	130	2013	11	997000,00	7669,23
Elemento 60	3	1	2	1	2464,94	3530	90	2002	22	800000,00	8888,89
Elemento 63	3	1	3	1	2788,32	3580	101,2	1991	33	689000,00	6808,30
Elemento 64	3	1	3	1	2788,32	3580	101,2	1991	33	689000,00	6808,30
Elemento 65	4	2	3	1	2788,32	4060	119,96	1998	26	980000,00	8169,39
Elemento 66	3	1	2	1	2464,94	5230	88	2002	22	680000,00	7727,27
Elemento 67	3	1	2	2	2380,02	5270	94	2001	23	990000,00	10531,91
Elemento 68	2	0	1	1	2380,02	5270	66	2001	23	540000,00	8181,82
Elemento 69	3	1	2	2	2380,02	5270	93	2001	23	900000,00	9677,42
Elemento 70	4	1	2	2	2380,02	5270	109,38	2001	23	1000000,00	9142,44
Elemento 71	3	1	2	1	2464,94	5750	92	2006	18	830000,00	9021,74
Elemento 72	3	1	2	1	2464,94	5750	91	2006	18	960000,00	10549,45
Elemento 73	3	1	2	1	2287,01	4900	84	1993	31	495000,00	5892,86
Elemento 74	2	0	1	1	2287,01	4900	60	1993	31	430000,00	7166,67
Elemento 75	2	0	2	1	2287,01	5750	65,95	1984	40	430000,00	6520,09
Elemento 76	2	0	2	1	2287,01	5750	66	1984	40	405000,00	6136,36
Elemento 77	2	0	1	1	2287,01	5750	66	1984	40	539000,00	8166,67
Elemento 78	3	1	2	1	2287,01	5750	84	1984	40	495000,00	5892,86
Elemento 79	3	1	2	1	2287,01	5750	84,25	1984	40	500000,00	5934,72
Elemento 80	2	1	2	1	2287,01	5750	65	1984	40	535000,00	8230,77
Elemento 81	3	1	2	1	2788,32	4140	89	2000	24	790000,00	8876,40
Elemento 82	3	1	2	1	2788,32	4140	89	2000	24	679000,00	7629,21
Elemento 83	3	1	2	2	2788,32	4140	109,54	2000	24	900000,00	8216,18
Elemento 85	2	0	1	1	2464,94	2460	58,99	2007	17	475000,00	8052,21
Elemento 86	2	1	2	1	2464,94	2460	72	2007	17	550000,00	7638,89
Elemento 87	3	0	1	1	2287,01	5230	69,41	1999	25	480000,00	6915,43
Elemento 88	3	0	2	1	2788,32	7110	74	1985	39	550000,00	7432,43
Elemento 89	2	1	2	1	2464,94	4140	82	2005	19	695000,00	8475,61
Elemento 90	2	1	2	1	2464,94	4140	83	2005	19	705000,00	8493,98
Elemento 91	2	1	2	1	2464,94	4140	72	2005	19	745000,00	10347,22
Elemento 92	2	1	2	1	2464,94	4140	72	2005	19	690000,00	9583,33
Elemento 93	2	1	1	1	2464,94	4140	82,7	2005	19	749000,00	9056,83
Elemento 94	2	1	2	1	2464,94	4140	77	2003	21	770000,00	10000,00
Elemento 95	2	1	2	1	2464,94	4140	78	2003	21	750000,00	9615,38
Elemento 96	2	0	1	1	2788,32	3360	72	1998	26	530000,00	7361,11
Elemento 97	2	1	2	1	2788,32	2390	60	1986	38	380000,00	6333,33
Elemento 98	2	0	1	1	2287,01	3580	64	1990	34	430000,00	6718,75
Elemento 99	2	0	1	1	2287,01	2580	58,32	2001	23	540000,00	9259,26
Elemento 100	3	1	2	1	2287,01	5230	89,46	1985	39	636000,00	7109,32
